PC=00000108, REG[14]=0000ff70
PC=0000010c, REG[15]=0000ff7c
PC=00000110, REG[14]=000059d8
PC=00000114, REG[15]=00000003
PC=00000118, REG[15]=0000000c
PC=0000011c, REG[12]=0000ff60
PC=00000120, REG[15]=0000ff6c
PC=00000124, REG[14]=2cbc4540
PC=00000128, ---
PC=0000012c, REG[15]=00000003
PC=00000130, REG[15]=0000000c
PC=00000134, REG[14]=0000ff60
PC=00000138, REG[15]=0000ff6c
PC=0000013c, REG[15]=2cbc4540
PC=00000140, REG[14]=d6e95669
PC=00000144, REG[15]=03a59ba9
PC=00000148, ---
PC=0000014c, REG[15]=00000003
PC=00000150, REG[15]=00000004
PC=00000154, ---
PC=00000158, REG[15]=00001000
PC=0000015c, REG[15]=00000004
PC=00000160, REG[14]=00000004
PC=00000164, ---
PC=00000168, REG[14]=03a59ba9
PC=0000016c, REG[15]=2b894868
PC=00000170, REG[14]=2f2ee411
PC=00000174, REG[15]=0000ff9c
PC=00000178, ---
PC=0000017c, ---
PC=00000180, REG[ 8]=00010000
PC=00000184, REG[ 2]=0000ff60
PC=00000188, ---
PC=000003e8, REG[15]=00000000
PC=000003ec, REG[ 2]=0000ff90
PC=000003f0, REG[10]=00000000
PC=000003f4, REG[ 2]=0000ff90
PC=000003f8, REG[ 1]=000000a0
PC=000003fc, REG[ 8]=00010000
PC=00000400, REG[ 9]=00000000
PC=00000404, REG[18]=00000000
PC=00000408, REG[19]=00000000
PC=0000040c, REG[20]=00000000
PC=00000410, REG[21]=00000000
PC=00000414, REG[22]=00000000
PC=00000418, REG[23]=00000000
PC=0000041c, REG[24]=00000000
PC=00000420, REG[25]=00000000
PC=00000424, REG[26]=00000000
PC=00000428, REG[27]=00000000
PC=0000042c, REG[ 2]=00010000
PC=00000430, ---
PC=000000a0, REG[ 2]=000100a0
PC=000000a4, REG[ 2]=00010000
PC=000000a8, ---
PC=000000ac, ---
PC=000000b0, ---
